incident_count_500m,incident_count_1km,weighted_severity_score,harassment_density,poor_lighting_density,distance_to_police_km,distance_to_hospital_km,hour_of_day,is_night,is_weekend,risk_category
3,5,6.22,5,4,1.09,2.27,3,1,0,1
0,1,1.19,1,0,3.42,2.07,8,0,0,0
0,1,0.75,0,1,0.63,1.2,4,1,0,0
0,2,2.82,1,2,10.64,0.92,2,1,0,0
3,6,8.62,2,4,0.89,2.0,17,0,0,2
2,3,3.67,2,2,0.98,2.36,8,0,0,0
0,2,1.2,1,2,0.33,0.9,3,1,1,0
0,4,5.6,4,4,2.15,6.6,6,0,0,1
1,3,3.45,2,1,0.6,2.24,0,1,0,0
1,4,4.88,3,4,1.88,2.07,15,0,1,1
1,6,9.03,1,1,0.55,1.63,5,1,1,1
1,5,6.52,2,2,0.98,0.35,5,1,0,1
2,2,4.9,2,0,3.6,5.55,13,0,0,0
2,5,6.56,3,3,2.52,1.15,21,1,0,1
1,4,6.72,1,1,0.4,2.77,4,1,1,1
0,4,2.31,1,3,1.78,2.54,10,0,0,0
4,6,10.28,2,4,1.88,2.4,0,1,1,2
2,3,6.45,2,0,0.27,2.06,19,0,0,0
1,1,2.42,0,1,1.23,0.7,9,0,0,0
2,5,5.11,1,4,0.64,1.02,0,1,1,1
1,3,3.99,1,2,1.23,2.06,20,0,1,0
1,4,4.34,1,0,2.8,4.09,3,1,1,1
6,10,11.27,2,7,0.41,1.61,7,0,1,2
0,1,0.53,2,1,0.34,0.77,0,1,0,0
0,2,1.91,0,1,0.66,0.43,7,0,0,0
1,2,2.89,2,1,5.58,2.92,13,0,0,0
2,5,9.01,2,3,2.58,1.58,23,1,0,2
1,4,4.89,1,3,0.14,0.53,16,0,0,0
0,2,1.91,0,1,1.02,3.01,8,0,0,0
1,2,3.57,1,0,0.64,0.78,5,1,0,0
2,6,9.67,3,5,1.93,1.98,0,1,0,2
0,2,1.96,1,0,1.21,1.11,22,1,0,0
4,4,7.78,0,4,6.11,6.91,22,1,1,2
1,4,4.15,3,2,0.54,0.85,8,0,0,1
2,7,8.96,6,4,1.7,1.56,0,1,0,2
0,4,4.21,2,1,2.27,8.22,13,0,0,0
1,6,8.92,3,5,3.24,1.16,23,1,0,2
3,7,10.88,3,5,1.04,2.79,10,0,0,2
0,1,0.54,0,2,2.19,1.15,7,0,0,0
4,6,6.74,1,4,0.75,0.49,22,1,0,2
2,3,5.8,1,1,1.13,2.67,11,0,1,0
0,2,1.8,2,1,4.17,6.39,5,1,1,0
0,4,5.3,0,2,5.49,1.71,16,0,0,0
1,2,3.06,1,2,2.38,2.66,10,0,0,0
2,6,5.62,4,5,0.94,2.55,9,0,0,1
2,6,8.7,1,3,3.19,1.54,7,0,0,1
0,2,2.25,0,2,0.15,2.59,11,0,0,0
1,4,6.33,3,4,0.3,0.95,20,0,0,1
5,9,10.8,2,3,2.05,1.39,3,1,0,2
4,6,7.38,1,5,0.72,1.66,20,0,0,2
0,1,0.84,0,1,5.54,5.19,20,0,0,0
1,4,5.18,1,3,1.13,1.27,12,0,0,0
2,7,9.98,4,3,1.11,2.72,2,1,1,2
1,3,4.36,2,1,2.14,0.8,19,0,0,0
0,6,8.08,2,1,2.73,0.93,3,1,0,1
0,3,3.95,1,4,1.26,2.81,7,0,1,0
2,4,5.6,4,3,0.53,3.79,4,1,1,1
2,2,5.09,0,0,2.77,1.75,21,1,0,0
3,5,9.57,1,6,0.8,1.22,1,1,0,2
1,2,3.61,3,2,0.45,6.23,7,0,0,0
0,2,1.62,3,2,1.9,0.56,23,1,0,0
2,4,7.19,1,1,0.27,3.39,4,1,0,1
2,3,5.52,0,1,6.49,3.13,15,0,1,1
0,6,3.09,2,4,1.9,3.13,20,0,0,1
2,2,5.24,0,0,7.77,7.05,14,0,0,1
2,6,8.57,3,3,0.84,3.46,18,0,0,1
2,7,8.9,1,3,6.49,1.1,12,0,0,2
2,8,9.03,1,3,0.38,1.29,10,0,0,1
2,2,4.95,1,1,0.17,1.44,15,0,0,0
0,4,2.97,4,4,0.16,0.28,17,0,0,0
2,5,7.81,2,2,1.23,6.32,14,0,0,1
1,2,3.84,1,1,0.26,0.39,5,1,0,0
1,6,9.33,6,3,1.39,3.21,7,0,0,2
3,5,6.37,2,3,0.81,3.47,3,1,0,1
1,5,8.17,2,3,0.84,4.84,20,0,0,1
2,2,4.7,1,2,1.92,2.22,15,0,0,0
3,7,11.64,2,1,0.42,3.43,20,0,1,2
1,3,3.78,1,2,2.72,1.1,10,0,0,0
3,3,3.18,1,3,1.67,3.62,19,0,1,0
3,8,11.22,2,6,4.54,1.25,1,1,0,2
2,3,3.63,0,2,0.92,6.03,21,1,0,1
0,3,2.15,1,0,7.4,0.65,3,1,0,0
2,6,9.52,2,3,1.64,1.15,13,0,1,1
